channel_id,reason,p,ic,combined_score,score1,score2
94349532261,"[""metric1"",""recall1""]",102413,2038,"[1.197949404740939E-5,0.04646404832601547,0.06182720139622688,0.07851190119981766,0.0979861468076706,0.12258961796760559,0.15520597994327545,0.2000117152929306,0.2656332552433014,0.37240782380104065,0.5682021379470825,0.9784255623817444,2.2049484252929688,7.449138164520264,89075.859375,99998.796875,99999.0390625,99999.28125,99999.609375,100000.2265625,5.528895830884352E15]","[0.0,5.0,9.0,12.0,15.0,18.0,20.0,23.0,25.0,27.0,29.0,31.0,33.0,35.0,38.0,40.0,42.0,44.0,46.0,48.0,49.0]","[0.0,8.0,13.0,17.0,20.0,23.0,26.0,28.0,30.0,32.0,33.0,35.0,37.0,39.0,41.0,43.0,44.0,46.0,47.0,48.0,49.0]"
94349532261,"[""metric1"",""recall2""]",24449,1079,"[5.519099795492366E-5,0.07398365437984467,0.11367493122816086,0.16589543223381042,0.23787011206150055,0.3529522120952606,0.5179623961448669,0.7872374057769775,1.2296546697616577,2.117743730545044,4.125683784484863,8.258016586303711,22.166603088378906,149.9525146484375,99998.828125,99999.1875,99999.5234375,99999.9140625,100000.4296875,100001.4140625,2.5649817150693363E20]","[0.0,4.0,7.0,10.0,12.0,14.0,17.0,19.0,21.0,23.0,25.0,27.0,30.0,32.0,34.0,36.0,39.0,41.0,44.0,47.0,49.0]","[0.0,4.0,6.0,8.0,11.0,13.0,15.0,17.0,20.0,22.0,24.0,26.0,28.0,31.0,33.0,35.0,38.0,41.0,44.0,47.0,49.0]"
94349532261,"[""recall1"",""aaeovr""]",108890,871,"[8.393748430535197E-6,0.037952400743961334,0.04757363721728325,0.0574740469455719,0.06898507475852966,0.08273222297430038,0.1004461720585823,0.1247171014547348,0.15842683613300323,0.2110043168067932,0.2981501817703247,0.4718399941921234,0.929611086845398,3.1411731243133545,425.1717224121094,99998.71875,99998.9296875,99999.1484375,99999.421875,99999.90625,5.0850724862492672E16]","[0.0,8.0,11.0,14.0,16.0,19.0,21.0,23.0,24.0,26.0,28.0,30.0,32.0,33.0,35.0,37.0,39.0,41.0,43.0,46.0,49.0]","[0.0,10.0,14.0,17.0,20.0,23.0,25.0,27.0,29.0,31.0,32.0,34.0,36.0,38.0,39.0,41.0,42.0,44.0,46.0,47.0,49.0]"
94349532261,"[""recall1"",""aalcivr""]",22655,508,"[1.4753535651834682E-5,0.05808192864060402,0.08245880156755447,0.11472039669752121,0.14946497976779938,0.195251002907753,0.25881311297416687,0.35822468996047974,0.5212388634681702,0.7605351209640503,1.1977916955947876,2.1710588932037354,4.671502590179443,16.366594314575195,587.6187744140625,99998.921875,99999.2578125,99999.5625,99999.9375,100000.6171875,1.0223296512E10]","[0.0,8.0,12.0,16.0,19.0,22.0,24.0,27.0,29.0,31.0,33.0,35.0,37.0,39.0,42.0,44.0,45.0,47.0,48.0,49.0,49.0]","[0.0,6.0,10.0,14.0,17.0,20.0,22.0,25.0,27.0,29.0,32.0,33.0,36.0,38.0,40.0,42.0,44.0,46.0,47.0,48.0,49.0]"
94349532261,"[""recall1"",""aaedvr""]",27454,1523,"[7.037965133349644E-6,0.05625646188855171,0.08186850696802139,0.11371909826993942,0.15379215776920319,0.20806558430194855,0.2882804572582245,0.4175167679786682,0.6345441341400146,1.0214730501174927,1.7352570295333862,3.281277656555176,6.622735500335693,19.969417572021484,236.74850463867188,99998.8828125,99999.28125,99999.6875,100000.21875,100000.96875,1.4588723593216E13]","[0.0,3.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,24.0,26.0,28.0,31.0,33.0,36.0,39.0,42.0,46.0,49.0]","[0.0,3.0,5.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,27.0,29.0,31.0,34.0,37.0,40.0,44.0,49.0]"
94349532261,"[""recall1"",""aesur""]",49655,2161,"[9.881437108560931E-6,0.06124458834528923,0.09329714626073837,0.13219444453716278,0.18800204992294312,0.2754790484905243,0.40306684374809265,0.616418182849884,1.0022790431976318,1.7807639837265015,3.4880716800689697,7.165918350219727,21.69178581237793,192.64036560058594,99998.6953125,99999.1015625,99999.4296875,99999.8046875,100000.25,100001.234375,5.9332799940788224E16]","[0.0,3.0,6.0,8.0,10.0,13.0,15.0,17.0,19.0,21.0,23.0,26.0,28.0,30.0,33.0,35.0,38.0,41.0,44.0,47.0,49.0]","[0.0,5.0,8.0,10.0,13.0,16.0,18.0,20.0,22.0,24.0,27.0,29.0,31.0,33.0,35.0,38.0,41.0,44.0,46.0,48.0,49.0]"
